,control_p_val,control_avg_logFC,control_pct.1,control_pct.2,control_p_val_adj,treatment_p_val,treatment_avg_logFC,treatment_pct.1,treatment_pct.2,treatment_p_val_adj,max_pval,minimump_p_val,cluster,gene
PF3D7-0729100,4.20E-30,0.345393853,0.84,0.344,2.20E-26,3.18E-05,0.336010281,0.576,0.253,0.166254903,3.18E-05,8.41E-30,6,PF3D7-0729100
PF3D7-1352500,6.96E-30,0.3424474,0.868,0.367,3.64E-26,1.16E-07,0.35449585,0.697,0.285,0.000603522,1.16E-07,1.39E-29,6,PF3D7-1352500
PF3D7-1448500,1.39E-29,0.366789571,0.924,0.403,7.26E-26,9.76E-08,0.358517745,0.758,0.318,0.000509681,9.76E-08,2.78E-29,6,PF3D7-1448500
PF3D7-0710200,1.47E-29,0.385591656,0.875,0.392,7.70E-26,2.46E-09,0.538026567,0.758,0.321,1.29E-05,2.46E-09,2.95E-29,6,PF3D7-0710200
PF3D7-1346400,1.59E-24,0.39529587,0.882,0.477,8.30E-21,3.80E-05,0.357711016,0.788,0.451,0.198494891,3.80E-05,3.18E-24,6,PF3D7-1346400
PF3D7-0608100,1.07E-21,0.303930811,0.771,0.362,5.61E-18,0.00099356,0.286116495,0.576,0.313,1,0.00099356,2.15E-21,6,PF3D7-0608100
PF3D7-1349500,3.44E-21,0.366795744,0.931,0.522,1.80E-17,0.000551944,0.323497706,0.788,0.469,1,0.000551944,6.89E-21,6,PF3D7-1349500
PF3D7-0423700,0,2.64447074,0.847,0.018,0,0,2.515555026,0.903,0.016,0,0,0,7,PF3D7-0423700
PF3D7-1467600,0,1.55072104,0.847,0.017,0,0,1.482712073,0.694,0.015,0,0,0,7,PF3D7-1467600
PF3D7-1473700,0,1.019477511,0.708,0.007,0,0,1.194789274,0.667,0.014,0,0,0,7,PF3D7-1473700
PF3D7-1477700,6.94E-259,0.796673955,0.361,0.002,3.63E-255,0,0.688068511,0.319,0.001,0,6.94E-259,0,7,PF3D7-1477700
PF3D7-1476600,1.15E-291,0.394130911,0.333,0,6.00E-288,2.94E-248,0.395727243,0.25,0.001,1.53E-244,2.94E-248,2.30E-291,7,PF3D7-1476600
PF3D7-0601700,8.60E-216,0.58949037,0.486,0.009,4.49E-212,2.34E-90,0.46778287,0.306,0.012,1.22E-86,2.34E-90,1.72E-215,7,PF3D7-0601700
PF3D7-1102500,3.17E-155,1.49818773,0.792,0.052,1.66E-151,3.00E-73,1.188269567,0.514,0.048,1.57E-69,3.00E-73,6.35E-155,7,PF3D7-1102500
PF3D7-0214300,1.82E-154,0.916418284,0.667,0.033,9.48E-151,6.20E-72,0.738124317,0.444,0.035,3.24E-68,6.20E-72,3.63E-154,7,PF3D7-0214300
PF3D7-1302100,3.89E-132,2.129631423,0.472,0.018,2.03E-128,6.87E-153,1.927520945,0.431,0.013,3.59E-149,3.89E-132,1.37E-152,7,PF3D7-1302100
PF3D7-1474000,1.65E-150,0.586463099,0.319,0.005,8.62E-147,3.71E-131,0.719422925,0.306,0.007,1.94E-127,3.71E-131,3.30E-150,7,PF3D7-1474000
PF3D7-0215000,9.69E-106,0.796970118,0.694,0.06,5.06E-102,2.26E-72,0.649973145,0.417,0.031,1.18E-68,2.26E-72,1.94E-105,7,PF3D7-0215000
PF3D7-0920000,6.42E-87,0.450632312,0.389,0.02,3.35E-83,1.69E-66,0.409133872,0.264,0.013,8.80E-63,1.69E-66,1.28E-86,7,PF3D7-0920000
PF3D7-0926500,6.69E-25,0.347295287,0.306,0.046,3.49E-21,7.89E-76,0.589552547,0.375,0.023,4.12E-72,6.69E-25,1.58E-75,7,PF3D7-0926500
PF3D7-0603600,5.28E-74,0.595864751,0.472,0.037,2.76E-70,1.05E-67,0.681275077,0.431,0.035,5.49E-64,1.05E-67,1.06E-73,7,PF3D7-0603600
